ID,NET,Instances,Scenarios,W,b,pulse,total,OF
2188,RI,RI30,10,40787,35768,1.35E-04,0.139784874,9
2189,RI,RI30,10,45239,30466,8.04E-05,0.139730678,8
2190,RI,RI30,10,45239,39329,7.48E-05,0.13972509,10
2191,RI,RI30,50,43835,29764,7.04E-04,0.711966603,2
2192,RI,RI30,50,43835,38206,6.35E-04,0.71189711,36
2193,RI,RI30,50,44537,30115,8.17E-04,0.712079257,4
2194,RI,RI30,50,44537,38768,8.18E-04,0.712080654,37
2195,RI,RI30,50,45239,30466,1.26E-04,0.711388247,34
2196,RI,RI30,50,45239,39329,6.87E-04,0.711949004,45
2197,RI,RI30,100,45239,30466,1.82E-04,1.503008762,67
2198,RI,RI30,100,45239,39329,5.38E-04,1.503364951,92
2199,RI,RI30,100,45239,30466,1.65E-04,1.502991859,67
2200,RI,RI30,100,45239,39329,5.35E-04,1.50336139,92
2201,RI,RI30,100,45239,30466,1.65E-04,1.50299186,67
2202,RI,RI30,100,45239,39329,5.56E-04,1.503383041,92
2203,RI,RI30,200,45239,30466,3.45E-04,2.984963451,127
2204,RI,RI30,200,45239,39329,7.68E-04,2.985385781,189
2205,RI,RI30,200,45239,30466,3.11E-04,2.984929579,127
2206,RI,RI30,200,45239,39329,7.01E-04,2.985319573,189
2207,RI,RI30,200,45239,30466,3.49E-04,2.984967571,127
2208,RI,RI30,200,45239,39329,7.14E-04,2.985331794,189
2209,RI,RI30,500,51891,31652,0.005878331,8.136622601,168
2210,RI,RI30,500,51891,43795,0.007456883,8.138201153,464
2211,RI,RI30,500,55417,33415,0.01749098,8.14823525,238
2212,RI,RI30,500,55417,46616,0.023656009,8.154400279,484
2213,RI,RI30,500,58944,35178,0.001627022,8.132371292,415
2214,RI,RI30,500,58944,49437,0.006062712,8.136806982,498
2215,RI,RI30,1000,52665,32039,0.010689208,19.04174274,380
2216,RI,RI30,1000,52665,44414,0.013895063,19.04494859,942
2217,RI,RI30,1000,55804,33608,0.0216186,19.05267213,501
2218,RI,RI30,1000,55804,46925,0.032950836,19.06400436,977
2219,RI,RI30,1000,58944,35178,0.002598235,19.03365176,841
2220,RI,RI30,1000,58944,49437,0.010949297,19.04200283,997
